Category,Variable,n,W1_pre,W1_post,Rel_change,p_eq,p_disc,sig_pre,sig_post,Verdict
CI audiogram,CI PTA 250 Hz,265,5.5,5.5,-0.3,0.6035,0.3965,28.6,25.2,—
CI audiogram,CI PTA 500 Hz,265,8.4,5.9,30.5,0.125,0.875,28.5,25.3,—
CI audiogram,CI PTA 1000 Hz,265,13.1,7.6,42.5,0.005,0.995,27.2,25.0,Equalizer
CI audiogram,CI PTA4,265,13.7,8.3,39.3,0.0055,0.9945,27.1,24.5,Equalizer
CI audiogram,Air-bone gap,260,12.5,7.1,42.8,0.0085,0.9915,27.3,25.1,Equalizer
Co audiogram,Co PTA 125 Hz,266,13.7,4.7,65.6,0.0,1.0,26.7,25.2,Equalizer
Co audiogram,Co PTA 250 Hz,265,14.4,4.4,69.2,0.0,1.0,26.6,25.2,Equalizer
Co audiogram,Co PTA 500 Hz,266,18.3,6.7,63.6,0.0,1.0,25.5,24.8,Equalizer
Co audiogram,Co PTA 1000 Hz,266,22.5,5.3,76.5,0.0,1.0,24.1,25.1,Equalizer
Co audiogram,Co PTA 2000 Hz,265,23.8,6.1,74.5,0.0,1.0,22.9,25.1,Equalizer
Co audiogram,Co PTA4,266,26.9,5.7,78.7,0.0,1.0,22.1,25.1,Equalizer
Free-field,FF 500 Hz CI,198,10.2,6.2,39.6,0.052,0.948,28.0,25.7,—
Free-field,FF 1000 Hz CI,199,13.0,6.0,53.5,0.0035,0.9965,27.2,24.8,Equalizer
Free-field,FF 2000 Hz CI,198,12.4,7.8,37.5,0.0205,0.9795,27.3,25.3,Equalizer
Free-field,FF 500 Hz Co,228,12.7,5.3,58.4,0.0005,0.9995,26.6,25.3,Equalizer
Free-field,FF 1000 Hz Co,228,21.0,5.0,76.1,0.0,1.0,24.6,25.9,Equalizer
Free-field,FF 2000 Hz Co,228,21.1,6.9,67.5,0.0,1.0,24.4,25.4,Equalizer
Free-field,FF 4000 Hz Co,224,19.8,9.5,52.1,0.0,1.0,24.8,25.3,Equalizer
