Variable,Category,N,OR,lo,hi,p,LR_rk,RF_rk,TabPFN_rk
COM_ARTICULATION,Persistence,368,2.5469,1.7013,3.8128,0.0000,1,2,1.0000
SES_PROFESSION_LEARNED,Discriminator,325,0.7326,0.6070,0.8842,0.0012,16,10,9.0000
prPTA_1000_CI,Equalizer,313,1.0313,1.0094,1.0537,0.0049,37,21,10.0000
COM_Gebaerden,Discriminator,355,3.3621,1.4233,7.9416,0.0057,20,33,
prPTA_2000_CI,Equalizer,248,1.0370,1.0105,1.0641,0.0060,11,10,3.0000
SES_EDUCATION_LEVEL,Discriminator,346,0.7586,0.6166,0.9331,0.0089,36,3,
COM_MULTILANG_HOME,Discriminator,367,1.7397,1.1463,2.6403,0.0093,19,21,5.0000
prPTA_6000_Co,Equalizer,213,1.0278,1.0042,1.0521,0.0209,2,33,
EVA_DEAF_ONSET,Discriminator,332,1.9907,1.0895,3.6376,0.0252,21,41,
prFF_2000_CI,Equalizer,205,1.0191,1.0018,1.0367,0.0299,30,41,7.0000
EVA_DEAF_ONSET_L,Discriminator,285,2.0623,1.0615,4.0066,0.0327,15,21,
Mono2_pre,Equalizer,264,0.9864,0.9739,0.9991,0.0365,26,10,12.0000
COM_FATHER_HACI_USER,Discriminator,139,0.2727,0.0768,0.9688,0.0445,6,33,8.0000
prPTA_500_CI,Equalizer,341,1.0133,0.9998,1.0269,0.0530,8,10,
prPTA_1000_Co,Equalizer,336,1.0134,0.9991,1.0279,0.0655,13,21,
C12_pre,Equalizer,255,0.9861,0.9706,1.0017,0.0813,5,6,
prPTA_4000_CI,Equalizer,193,1.0252,0.9962,1.0551,0.0896,32,3,
prFF_6000_Co,Equalizer,188,1.0143,0.9977,1.0313,0.0914,24,10,
prFF_500_Co,Equalizer,264,0.9812,0.9595,1.0033,0.0947,12,21,
prFF_1000_CI,Equalizer,239,1.0171,0.9958,1.0387,0.1158,39,33,
FM_pre,Equalizer,274,0.9796,0.9542,1.0057,0.1251,35,21,14.0000
prPTA_500_Co,Equalizer,343,1.0089,0.9969,1.0211,0.1467,14,41,
EVA_HL_PROGREDIENT,Discriminator,337,0.4051,0.1194,1.3752,0.1473,17,6,
Mono1_pre,Equalizer,264,0.9912,0.9793,1.0033,0.1529,40,48,
prPTA_2000_Co,Equalizer,296,1.0113,0.9956,1.0272,0.1609,31,10,
prFF_4000_CI,Equalizer,164,1.0140,0.9936,1.0347,0.1798,27,21,
prPTA_8000_Co,Equalizer,102,1.0271,0.9871,1.0687,0.1873,29,6,15.0000
prFF_6000_CI,Equalizer,123,1.0156,0.9906,1.0413,0.2241,34,10,
prPTA_4000_Co,Equalizer,254,1.0109,0.9933,1.0287,0.2262,4,21,
Num_pre,Equalizer,272,0.9918,0.9786,1.0052,0.2298,41,10,
prFF_250_Co,Equalizer,259,0.9881,0.9689,1.0078,0.2348,45,41,
prFF_500_CI,Equalizer,240,1.0110,0.9927,1.0298,0.2409,42,21,
prPTA_6000_CI,Equalizer,131,1.0195,0.9831,1.0573,0.2982,44,10,
prFF_4000_Co,Equalizer,218,1.0080,0.9925,1.0237,0.3141,18,6,
prFF_250_CI,Equalizer,239,1.0069,0.9899,1.0241,0.4275,49,41,
prPTA_250_CI,Equalizer,282,1.0053,0.9914,1.0193,0.4576,3,10,
V08_pre,Equalizer,265,0.9949,0.9802,1.0097,0.4957,7,41,
prPTA_8000_CI,Equalizer,52,1.0269,0.9481,1.1123,0.5147,38,41,
COM_PHONE_USE,Persistence,343,0.9238,0.7007,1.2181,0.5744,43,10,
prPTA_125_Co,Equalizer,279,1.0032,0.9869,1.0198,0.7051,25,33,6.0000
prFF_1000_Co,Equalizer,261,0.9958,0.9737,1.0184,0.7127,33,21,
prPTA_125_CI,Equalizer,207,1.0037,0.9834,1.0243,0.7250,28,33,
COM_LIP_READING,Persistence,265,1.0932,0.5347,2.2348,0.8071,48,21,
Geschlecht,Persistence,378,1.0610,0.6399,1.7592,0.8185,46,5,
prPTA_250_Co,Equalizer,321,1.0012,0.9889,1.0137,0.8455,9,33,11.0000
prFF_8000_Co,Equalizer,19,0.9950,0.9390,1.0543,0.8642,47,49,4.0000
prFF_8000_CI,Equalizer,12,0.9933,0.8976,1.0993,0.8967,22,33,13.0000
prFF_2000_Co,Equalizer,249,0.9990,0.9820,1.0163,0.9083,23,21,
Age_at_OP,Persistence,378,0.9991,0.9837,1.0148,0.9132,10,1,2.0000
