Variable,TabPFN_perm_importance,TabPFN_perm_SD,TabPFN_rank
COM_ARTICULATION,0.27686,0.03676,1
Age_at_OP,0.19190,0.01310,2
COM_MAIN_LANGUAGE,0.11701,0.01738,3
COM_MULTILANG_HOME,0.04681,0.00653,4
onset_ord,0.04192,0.00653,5
COM_FATHER_HACI_USER,0.01943,0.00572,6
SES_RES_PERMIT_STATUS,0.01705,0.00256,7
Sur_incision_type,0.01548,0.00298,8
prFF_250_CI,0.01318,0.00177,9
prPTA_2000_CI,0.01301,0.00238,10
prPTA_500_CI,0.00763,0.00106,11
SES_RES_PERMIT_SINCE,0.00658,0.00215,12
SES_PROFESSION_LEARNED,0.00636,0.00099,13
prFF_1000_CI,0.00574,0.00115,14
prFF_500_Co,0.00524,0.00115,15
prPTA_8000_CI,0.00505,0.00076,16
SES_LIVING_SITUATION,0.00473,0.00057,17
prFF_4000_Co,0.00443,0.00071,18
FM_pre,0.00420,0.00094,19
SES_EDUCATION_LEVEL,0.00352,0.00076,20
prPTA_1000_CI,0.00307,0.00074,21
prPTA_250_Co,0.00263,0.00028,22
prFF_1000_Co,0.00249,0.00054,23
prFF_8000_Co,0.00248,0.00047,24
prPTA_250_CI,0.00239,0.00030,25
prPTA_125_Co,0.00238,0.00023,26
prPTA_6000_Co,0.00236,0.00056,27
etiology_ord,0.00211,0.00036,28
Sex_F,0.00206,0.00035,29
prFF_2000_CI,0.00205,0.00058,30
SES_MARITIAL_STATE,0.00204,0.00037,31
prFF_500_CI,0.00194,0.00027,32
Num_pre,0.00183,0.00028,33
COM_LIP_READING,0.00180,0.00026,34
prFF_250_Co,0.00177,0.00026,35
prPTA_500_Co,0.00177,0.00040,36
prFF_8000_CI,0.00168,0.00053,37
prPTA_125_CI,0.00162,0.00029,38
Sur_Status,0.00151,0.00022,39
prPTA_4000_CI,0.00141,0.00017,40
prFF_6000_CI,0.00138,0.00045,41
prFF_2000_Co,0.00136,0.00033,42
prPTA_2000_Co,0.00119,0.00017,43
Mono1_pre,0.00118,0.00021,44
Mono2_pre,0.00115,0.00033,45
prPTA_1000_Co,0.00111,0.00028,46
prFF_4000_CI,0.00108,0.00031,47
COM_MOTHER_HACI_USER,0.00108,0.00044,48
Sur_periop_medic,0.00104,0.00017,49
prFF_6000_Co,0.00104,0.00024,50
V08_pre,0.00099,0.00014,51
prPTA_8000_Co,0.00092,0.00024,52
SES_HEALTH_INSURANCE,0.00085,0.00052,53
prPTA_4000_Co,0.00077,0.00032,54
prPTA_6000_CI,0.00075,0.00016,55
C12_pre,0.00073,0.00019,56
progressive_HL,0.00066,0.00044,57
duration_HL,0.00015,0.00028,58
COM_FATHER_DEAF,0.00009,0.00010,59
COM_MOTHER_DEAF,0.00000,0.00000,60
